amount,total,price,type
0.00541,49.14749999999991,42898.18,buy
0.0008,49.14829999999991,42897.7,buy
0.00047,49.14876999999991,42897.57,buy
0.00046,49.1492299999999,42896.79,buy
0.00078,49.1500099999999,42895.91,buy
2.1062,51.2562099999999,42895.64,buy
0.0255,51.281709999999904,42895.38,buy
0.00149,51.2831999999999,42894.66,buy
0.00028,51.2834799999999,42894.31,buy
0.00033,51.283809999999896,42894.1,buy
0.87772,52.16152999999989,42892.92,buy
0.00046,52.16198999999989,42892.04,buy
0.00049,52.16247999999989,42891.41,buy
0.00046,52.162939999999885,42891.17,buy
0.00046,52.16339999999988,42890.48,buy
0.00156,52.16495999999988,42890.01,buy
4.66324,56.82819999999988,42889.07,buy
0.00255,56.83074999999988,42889.06,buy
0.00046,56.83120999999988,42888.17,buy
0.00142,56.83262999999988,42887.95,buy
0.00053,56.83315999999988,42887.3,buy
0.00087,56.83402999999988,42885.99,buy
0.00046,56.834489999999874,42885.76,buy
0.00024,56.83472999999987,42885.71,buy
0.00129,56.83601999999987,42885.69,buy
0.00032,56.83633999999987,42885.57,buy
0.0101,56.84643999999987,42885.0,buy
0.00046,56.84689999999987,42884.9,buy
0.001,56.84789999999987,42884.37,buy
0.00052,56.84841999999987,42883.57,buy
0.00082,56.84923999999987,42882.68,buy
0.00025,56.84948999999987,42882.65,buy
0.00873,56.85821999999987,42881.74,buy
0.00048,56.85869999999987,42880.73,buy
0.00194,56.86063999999987,42880.31,buy
0.00277,56.86340999999987,42880.05,buy
0.0506,56.91400999999987,42880.0,buy
0.00025,56.91425999999987,42879.51,buy
0.00217,56.91642999999987,42879.14,buy
0.00065,56.91707999999987,42878.89,buy
0.0013,56.91837999999987,42878.57,buy
0.00047,56.91884999999987,42878.42,buy
0.00242,56.92126999999987,42878.22,buy
0.00055,56.92181999999987,42877.99,buy
0.00117,56.92298999999987,42877.94,buy
0.00047,56.92345999999987,42877.81,buy
0.00699,56.93044999999987,42877.0,buy
0.00138,56.93182999999987,42876.8,buy
0.00046,56.93228999999987,42876.62,buy
0.05285,56.985139999999866,42875.0,buy
0.00085,56.985989999999866,42874.22,buy
0.24631,57.23229999999987,42873.61,buy
0.00046,57.232759999999864,42873.38,buy
0.0007,57.233459999999866,42872.87,buy
0.0048,57.23825999999987,42872.09,buy
0.00265,57.24090999999987,42872.0,buy
0.00068,57.241589999999874,42871.99,buy
0.00895,57.25053999999987,42871.88,buy
0.00081,57.251349999999874,42871.54,buy
0.00946,57.26080999999987,42871.01,buy
0.00026,57.26106999999987,42870.86,buy
0.0013,57.26236999999987,42870.5,buy
0.23725,57.49961999999987,42870.0,buy
0.0005,57.500119999999875,42869.79,buy
0.00047,57.500589999999875,42869.58,buy
0.00388,57.50446999999988,42869.13,buy
0.23026,57.73472999999988,42868.48,buy
0.00026,57.734989999999875,42868.17,buy
0.00198,57.73696999999988,42867.34,buy
0.00052,57.73748999999988,42866.66,buy
0.00078,57.73826999999988,42866.32,buy
0.00088,57.73914999999988,42866.25,buy
0.00039,57.739539999999884,42866.2,buy
0.00026,57.73979999999988,42865.82,buy
0.00108,57.74087999999988,42865.81,buy
0.00046,57.74133999999988,42865.42,buy
0.00255,57.74388999999988,42864.44,buy
0.054,57.79788999999988,42863.86,buy
0.0004,57.79828999999988,42863.77,buy
0.00046,57.79874999999988,42862.07,buy
0.00048,57.79922999999988,42861.92,buy
0.00046,57.79968999999988,42861.8,buy
0.00638,57.80606999999988,42861.75,buy
0.00102,57.807089999999874,42860.81,buy
0.01114,57.81822999999987,42860.56,buy
0.05179,57.87001999999987,42860.0,buy
0.00129,57.871309999999866,42859.37,buy
0.00277,57.874079999999864,42858.69,buy
0.17111,58.04518999999986,42857.14,buy
0.00676,58.05194999999986,42857.05,buy
0.00028,58.05222999999986,42855.67,buy
0.0101,58.06232999999986,42855.0,buy
0.00238,58.06470999999986,42854.3,buy
0.00024,58.06494999999986,42853.78,buy
0.00044,58.06538999999986,42852.89,buy
0.00048,58.06586999999986,42852.86,buy
0.00028,58.06614999999986,42851.91,buy
0.00046,58.066609999999855,42851.77,buy
0.02443,58.09103999999986,42851.53,buy
0.00046,58.091499999999854,42851.24,buy
0.0025,58.09399999999985,42851.0,buy
0.00125,58.09524999999985,42850.4,buy
0.031,58.12624999999985,42850.0,buy
0.00127,58.12751999999985,42848.11,buy
0.00613,58.13364999999985,42847.88,buy
0.00046,58.13410999999984,42847.53,buy
0.00087,58.13497999999984,42847.13,buy
0.00113,58.136109999999846,42846.93,buy
0.92398,59.060089999999846,42843.25,buy
0.00024,59.060329999999844,42842.85,buy
0.00046,59.06078999999984,42841.51,buy
0.0007,59.06148999999984,42841.46,buy
